1.987613e+01 1.762015e-14 4.984934e-17 4.116248e-23 7.841265e-25 3.634073e-29 9.111146e-31
1.988408e+01 1.123914e-13 3.174742e-16 2.613151e-22 4.972509e-24 2.298240e-28 5.756549e-30
1.989203e+01 3.922856e-13 1.106377e-15 9.077651e-22 1.725485e-23 7.953230e-28 1.990205e-29
1.989998e+01 1.011987e-12 2.849716e-15 2.330700e-21 4.425381e-23 2.034211e-27 5.085548e-29
1.990793e+01 2.169925e-12 6.100946e-15 4.973899e-21 9.433827e-23 4.357898e-27 1.080129e-28
1.991588e+01 4.105238e-12 1.152436e-14 9.365517e-21 1.774392e-22 8.322441e-27 2.032258e-28
1.992383e+01 7.094800e-12 1.988588e-14 1.614618e-20 3.048736e-22 1.462839e-26 3.532302e-28
1.993178e+01 1.145034e-11 3.204421e-14 2.611041e-20 4.898643e-22 2.416782e-26 5.817316e-28
1.993973e+01 1.751569e-11 4.898662e-14 4.024578e-20 7.483027e-22 3.809019e-26 9.201874e-28
1.994767e+01 2.566410e-11 7.188145e-14 5.976761e-20 1.099466e-21 5.786256e-26 1.408047e-27
1.995562e+01 3.629571e-11 1.021289e-13 8.611463e-20 1.567295e-21 8.534998e-26 2.092837e-27
1.996357e+01 4.985031e-11 1.414073e-13 1.209284e-19 2.181163e-21 1.229250e-25 3.032283e-27
1.997152e+01 6.682601e-11 1.917147e-13 1.661307e-19 2.976925e-21 1.736034e-25 4.299122e-27
1.997947e+01 8.778264e-11 2.554055e-13 2.240687e-19 3.998661e-21 2.411459e-25 5.985594e-27
1.998742e+01 1.133381e-10 3.351833e-13 2.976014e-19 5.299312e-21 3.301863e-25 8.206424e-27
1.999537e+01 1.441784e-10 4.341131e-13 3.901502e-19 6.941288e-21 4.464118e-25 1.110091e-26
2.000332e+01 1.810725e-10 5.557262e-13 5.057354e-19 8.998296e-21 5.967922e-25 1.483516e-26
2.001127e+01 2.248739e-10 7.041137e-13 6.490073e-19 1.155803e-20 7.897745e-25 1.960773e-26
2.001921e+01 2.765284e-10 8.839984e-13 8.253583e-19 1.472428e-20 1.035460e-24 2.565973e-26
2.002716e+01 3.370868e-10 1.100798e-12 1.041091e-18 1.861963e-20 1.345972e-24 3.328454e-26
2.003511e+01 4.077040e-10 1.360640e-12 1.303583e-18 2.338870e-20 1.735843e-24 4.283481e-26
2.004306e+01 4.896443e-10 1.670399e-12 1.621432e-18 2.920029e-20 2.222360e-24 5.472809e-26
2.005101e+01 5.843051e-10 2.037803e-12 2.004559e-18 3.625065e-20 2.826106e-24 6.945414e-26
2.005896e+01 6.932448e-10 2.471575e-12 2.464296e-18 4.476673e-20 3.571596e-24 8.758900e-26
